timestamp,route_id,bus_id,driver_id,latitude,longitude,traffic_level,nearest_stop_id,distance_to_stop_km,speed_kmh
2025-10-13T07:48:33.254684,48AC,31668f9d,DRIVER001,9.97316,78.139731,1,1,0.127,30
2025-10-13T07:48:34.139873,48AC,31668f9d,DRIVER001,9.97316,78.139731,1,1,0.127,30
2025-10-13T07:48:34.152186,48AC,31668f9d,DRIVER001,9.97316,78.139731,1,1,0.127,30
2025-10-13T07:48:34.164503,48AC,31668f9d,DRIVER001,9.97316,78.139731,1,1,0.127,30
2025-10-13T07:48:34.174917,48AC,31668f9d,DRIVER001,9.97316,78.139731,1,1,0.127,30
2025-10-13T07:48:38.170344,48AC,31668f9d,DRIVER001,9.959304,78.133929,1,4,0.431,30
2025-10-13T07:48:38.181862,48AC,31668f9d,DRIVER001,9.959304,78.133929,1,4,0.431,30
2025-10-13T07:48:38.194227,48AC,31668f9d,DRIVER001,9.959304,78.133929,1,4,0.431,30
2025-10-13T07:48:38.203806,48AC,31668f9d,DRIVER001,9.959304,78.133929,1,4,0.431,30
2025-10-13T07:48:38.214711,48AC,31668f9d,DRIVER001,9.959304,78.133929,1,4,0.431,30
2025-10-13T07:48:42.192505,48AC,31668f9d,DRIVER001,9.959277,78.133864,1,4,0.426,30
2025-10-13T07:48:42.204397,48AC,31668f9d,DRIVER001,9.959277,78.133864,1,4,0.426,30
2025-10-13T07:48:42.217921,48AC,31668f9d,DRIVER001,9.959277,78.133864,1,4,0.426,30
2025-10-13T07:48:42.230562,48AC,31668f9d,DRIVER001,9.959277,78.133864,1,4,0.426,30
2025-10-13T07:48:46.171083,48AC,31668f9d,DRIVER001,9.959004,78.133883,1,4,0.398,30
2025-10-13T07:48:46.181750,48AC,31668f9d,DRIVER001,9.959004,78.133883,1,4,0.398,30
2025-10-13T07:48:46.190591,48AC,31668f9d,DRIVER001,9.959004,78.133883,1,4,0.398,30
2025-10-13T07:48:46.201125,48AC,31668f9d,DRIVER001,9.959004,78.133883,1,4,0.398,30
2025-10-13T07:48:49.217380,48AC,31668f9d,DRIVER001,9.958809,78.133815,1,4,0.375,30
